namebin1 minbin1 maxbin1 minbin2 maxbin2 namebin2 w  werr
"E" 0. 0.1 0.296706 2.6179 "theta" 1.00098 0.000960894 
"E" 0.1 0.2 0.296706 2.6179 "theta" 1.00576 0.000205204 
"E" 0.2 0.3 0.296706 2.6179 "theta" 1.00686 0.000277144 
"E" 0.3 0.4 0.296706 2.6179 "theta" 1.00748 0.000742313 
"E" 0.4 0.5 0.296706 2.6179 "theta" 1.00710 0.000320458 
"E" 0.5 0.6 0.296706 2.6179 "theta" 1.00731 0.00182055 
"E" 0.6 0.7 0.296706 2.6179 "theta" 1.00706 0.000494915 
"E" 0.7 0.8 0.296706 2.6179 "theta" 1.00463 0.000811531 
"E" 0.8 0.9 0.296706 2.6179 "theta" 1.00324 0.000846812 
"E" 0.9 1. 0.296706 2.6179 "theta" 1.00217 0.000835859 
"E" 1.  1.1 0.296706 2.6179 "theta" 1.00508 0.00096095 
"E" 1.1 1.2 0.296706 2.6179 "theta" 1.00310 0.00221014 
"E" 1.2 1.3 0.296706 2.6179 "theta" 1.00054 0.000876405 
"E" 1.3 1.4 0.296706 2.6179 "theta" 1.00098 0.00114242 
"E" 1.4 1.5 0.296706 2.6179 "theta" 1.00118 0.00202689 
"E" 1.5 1.6 0.296706 2.6179 "theta" 1.00238 0.00163786 
"E" 1.6 1.7 0.296706 2.6179 "theta" 1.00223 0.00161889 
"E" 1.7 1.8 0.296706 2.6179 "theta" 1.00021 0.00137441 
"E" 1.8 1.9 0.296706 2.6179 "theta" 1.00211 0.00196181 
"E" 1.9 2. 0.296706 2.6179 "theta" 1.00082 0.00278951
"E" 2. 7.  0.296706 2.6179 "theta" 1.000 0.00001
