 nodename,       config, sh_num, register,     parameter
   ECLDSP,  Shaper:001,1,  Shaper:reg:001, Shaper:par:001:1
   ECLDSP,  Shaper:001,2,  Shaper:reg:001, Shaper:par:001:2
   ECLDSP,  Shaper:001,3,  Shaper:reg:001, Shaper:par:001:3
   ECLDSP,  Shaper:001,4,  Shaper:reg:001, Shaper:par:001:4
   ECLDSP,  Shaper:001,5,  Shaper:reg:001, Shaper:par:001:5
   ECLDSP,  Shaper:001,6,  Shaper:reg:001, Shaper:par:001:6
   ECLDSP,  Shaper:001,7,  Shaper:reg:001, Shaper:par:001:7
   ECLDSP,  Shaper:001,8,  Shaper:reg:001, Shaper:par:001:8
   ECLDSP,  Shaper:001,9,  Shaper:reg:001, Shaper:par:001:9
   ECLDSP,  Shaper:001,10,  Shaper:reg:001, Shaper:par:001:10
   ECLDSP,  Shaper:001,54,  Shaper:reg:001, Shaper:par:001:54
   ECLDSP,  Shaper:001,12,  Shaper:reg:001, Shaper:par:001:12
   ECLDSP,  Shaper:001,13,  Shaper:reg:001, Shaper:par:001:13
   ECLDSP,  Shaper:001,14,  Shaper:reg:001, Shaper:par:001:14
   ECLDSP,  Shaper:001,15,  Shaper:reg:001, Shaper:par:001:15
   ECLDSP,  Shaper:001,16,  Shaper:reg:001, Shaper:par:001:16
   ECLDSP,  Shaper:001,17,  Shaper:reg:001, Shaper:par:001:17
   ECLDSP,  Shaper:001,18,  Shaper:reg:001, Shaper:par:001:18
   ECLDSP,  Shaper:001,19,  Shaper:reg:001, Shaper:par:001:19
   ECLDSP,  Shaper:001,20,  Shaper:reg:001, Shaper:par:001:20
   ECLDSP,  Shaper:001,39,  Shaper:reg:001, Shaper:par:001:39
   ECLDSP,  Shaper:001,22,  Shaper:reg:001, Shaper:par:001:22
   ECLDSP,  Shaper:001,23,  Shaper:reg:001, Shaper:par:001:23
   ECLDSP,  Shaper:001,24,  Shaper:reg:001, Shaper:par:001:24
   ECLDSP,  Shaper:001,25,  Shaper:reg:001, Shaper:par:001:25
   ECLDSP,  Shaper:001,26,  Shaper:reg:001, Shaper:par:001:26
   ECLDSP,  Shaper:001,27,  Shaper:reg:001, Shaper:par:001:27
   ECLDSP,  Shaper:001,28,  Shaper:reg:001, Shaper:par:001:28
   ECLDSP,  Shaper:001,29,  Shaper:reg:001, Shaper:par:001:29
   ECLDSP,  Shaper:001,30,  Shaper:reg:001, Shaper:par:001:30
   ECLDSP,  Shaper:001,31,  Shaper:reg:001, Shaper:par:001:31
   ECLDSP,  Shaper:001,32,  Shaper:reg:001, Shaper:par:001:32
   ECLDSP,  Shaper:001,33,  Shaper:reg:001, Shaper:par:001:33
   ECLDSP,  Shaper:001,34,  Shaper:reg:001, Shaper:par:001:34
   ECLDSP,  Shaper:001,35,  Shaper:reg:001, Shaper:par:001:35
   ECLDSP,  Shaper:001,36,  Shaper:reg:001, Shaper:par:001:36
