nodename, config, paramname, address
ECLDSP,v001, THREAD_AF,0x502
ECLDSP,v001, TRBUF,0x500
ECLDSP,v001, UTHREAD_AF,0x501
ECLDSP,v001, SHAPER_PROC_MASK,0x200
ECLDSP,v001, SHAPER_PROC_NUM,0x210
ECLDSP,v001, SHAPER_ADC_MASK,0x208
ECLDSP,v001, SHAPER_ADC_NUM,0x218
ECLDSP,v001, TRG2ADC_DATA_END,0x220
ECLDSP,v001, ADC1_COMP_VALUE,0x20
ECLDSP,v001, ADC2_COMP_VALUE,0x21
ECLDSP,v001, ADC3_COMP_VALUE,0x22
ECLDSP,v001, ADC4_COMP_VALUE,0x23
ECLDSP,v001, ADC5_COMP_VALUE,0x24
ECLDSP,v001, ADC6_COMP_VALUE,0x25
ECLDSP,v001, ADC7_COMP_VALUE,0x26
ECLDSP,v001, ADC8_COMP_VALUE,0x27
ECLDSP,v001, ADC9_COMP_VALUE,0x28
ECLDSP,v001, ADC10_COMP_VALUE,0x29
ECLDSP,v001, ADC11_COMP_VALUE,0x2A
ECLDSP,v001, ADC12_COMP_VALUE,0x2B
ECLDSP,v001, ADC13_COMP_VALUE,0x2C
ECLDSP,v001, ADC14_COMP_VALUE,0x2D
ECLDSP,v001, ADC15_COMP_VALUE,0x2E
ECLDSP,v001, ADC16_COMP_VALUE,0x2F
ECLDSP,v001, SH_RELAY,0x40
ECLDSP,v001, ADC_DATA_LEN,0x223
