nodename, config, paramname, arrayindex, value
CPR7001, KLM:default:a, SHAPER_MASK_LOW, 0, 0xFF
CPR7001, KLM:default:a, SHAPER_MASK_HIGH, 0, 0x0F
CPR7001, KLM:default:a, TTD_TRG_RARE_FACTOR, 0, 0x01
CPR7001, KLM:default:a, TTD_TRG_TYPE, 0, 0x31
CPR7001, KLM:default:a, CALIB_AMPL0_LOW, 0, 0x00
CPR7001, KLM:default:a, CALIB_AMPL0_HIGH, 0, 0x00
CPR7001, KLM:default:a, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7001, KLM:default:a, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7001, KLM:default:a, CALIB_DELAY0_LOW, 0, 0x00
CPR7001, KLM:default:a, CALIB_DELAY0_HIGH, 0, 0x00
CPR7001, KLM:default:a, CALIB_DELAY_STEP_LOW, 0, 0x00
CPR7001, KLM:default:a, CALIB_DELAY_STEP_HIGH, 0, 0x00
CPR7001, KLM:default:a, CALIB_EVENTS_PER_STEP, 0, 0x00
CPR7001, KLM:default:b, SHAPER_MASK_LOW, 0, 0xFF
CPR7001, KLM:default:b, SHAPER_MASK_HIGH, 0, 0x0F
CPR7001, KLM:default:b, TTD_TRG_RARE_FACTOR, 0, 0x01
CPR7001, KLM:default:b, TTD_TRG_TYPE, 0, 0x31
CPR7001, KLM:default:b, CALIB_AMPL0_LOW, 0, 0x00
CPR7001, KLM:default:b, CALIB_AMPL0_HIGH, 0, 0x00
CPR7001, KLM:default:b, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7001, KLM:default:b, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7001, KLM:default:b, CALIB_DELAY0_LOW, 0, 0x00
CPR7001, KLM:default:b, CALIB_DELAY0_HIGH, 0, 0x00
CPR7001, KLM:default:b, CALIB_DELAY_STEP_LOW, 0, 0x00
CPR7001, KLM:default:b, CALIB_DELAY_STEP_HIGH, 0, 0x00
CPR7001, KLM:default:b, CALIB_EVENTS_PER_STEP, 0, 0x00
CPR7002, KLM:default:a, SHAPER_MASK_LOW, 0, 0xFF
CPR7002, KLM:default:a, SHAPER_MASK_HIGH, 0, 0x0F
CPR7002, KLM:default:a, TTD_TRG_RARE_FACTOR, 0, 0x01
CPR7002, KLM:default:a, TTD_TRG_TYPE, 0, 0x31
CPR7002, KLM:default:a, CALIB_AMPL0_LOW, 0, 0x00
CPR7002, KLM:default:a, CALIB_AMPL0_HIGH, 0, 0x00
CPR7002, KLM:default:a, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7002, KLM:default:a, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7002, KLM:default:a, CALIB_DELAY0_LOW, 0, 0x00
CPR7002, KLM:default:a, CALIB_DELAY0_HIGH, 0, 0x00
CPR7002, KLM:default:a, CALIB_DELAY_STEP_LOW, 0, 0x00
CPR7002, KLM:default:a, CALIB_DELAY_STEP_HIGH, 0, 0x00
CPR7002, KLM:default:a, CALIB_EVENTS_PER_STEP, 0, 0x00
CPR7002, KLM:default:b, SHAPER_MASK_LOW, 0, 0xFF
CPR7002, KLM:default:b, SHAPER_MASK_HIGH, 0, 0x0F
CPR7002, KLM:default:b, TTD_TRG_RARE_FACTOR, 0, 0x01
CPR7002, KLM:default:b, TTD_TRG_TYPE, 0, 0x31
CPR7002, KLM:default:b, CALIB_AMPL0_LOW, 0, 0x00
CPR7002, KLM:default:b, CALIB_AMPL0_HIGH, 0, 0x00
CPR7002, KLM:default:b, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7002, KLM:default:b, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7002, KLM:default:b, CALIB_DELAY0_LOW, 0, 0x00
CPR7002, KLM:default:b, CALIB_DELAY0_HIGH, 0, 0x00
CPR7002, KLM:default:b, CALIB_DELAY_STEP_LOW, 0, 0x00
CPR7002, KLM:default:b, CALIB_DELAY_STEP_HIGH, 0, 0x00
CPR7002, KLM:default:b, CALIB_EVENTS_PER_STEP, 0, 0x00
CPR7003, KLM:default:a, SHAPER_MASK_LOW, 0, 0xFF
CPR7003, KLM:default:a, SHAPER_MASK_HIGH, 0, 0x0F
CPR7003, KLM:default:a, TTD_TRG_RARE_FACTOR, 0, 0x01
CPR7003, KLM:default:a, TTD_TRG_TYPE, 0, 0x31
CPR7003, KLM:default:a, CALIB_AMPL0_LOW, 0, 0x00
CPR7003, KLM:default:a, CALIB_AMPL0_HIGH, 0, 0x00
CPR7003, KLM:default:a, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7003, KLM:default:a, CALIB_AMPL_STEP_HIGH, 0, 0x00
CPR7003, KLM:default:a, CALIB_DELAY0_LOW, 0, 0x00
CPR7003, KLM:default:a, CALIB_DELAY0_HIGH, 0, 0x00
CPR7003, KLM:default:a, CALIB_DELAY_STEP_LOW, 0, 0x00
CPR7003, KLM:default:a, CALIB_DELAY_STEP_HIGH, 0, 0x00
CPR7003, KLM:default:a, CALIB_EVENTS_PER_STEP, 0, 0x00
