nodename,         config,   paramname, address, size
  CPR7001,KLM:FEE:V01, SHAPER_MASK_LOW, 0x20,1
  CPR7001,KLM:FEE:V02, SHAPER_MASK_HIGH, 0x21,1
  CPR7001,KLM:FEE:V03, TTD_TRG_RARE_FACTOR, 0x38,1
  CPR7001,KLM:FEE:V04, TTD_TRG_TYPE, 0x39,1
  CPR7001,KLM:FEE:V05, CALIB_AMPL0_LOW, 0x40,1
  CPR7001,KLM:FEE:V06, CALIB_AMPL0_HIGH, 0x41,1
  CPR7001,KLM:FEE:V07, CALIB_AMPL_STEP_HIGH, 0x42,1
  CPR7001,KLM:FEE:V08, CALIB_AMPL_STEP_HIGH, 0x43,1
  CPR7001,KLM:FEE:V09, CALIB_DELAY0_LOW, 0x44,1
  CPR7001,KLM:FEE:V10, CALIB_DELAY0_HIGH, 0x45,1
  CPR7001,KLM:FEE:V11, CALIB_DELAY_STEP_LOW, 0x46,1
  CPR7001,KLM:FEE:V12, CALIB_DELAY_STEP_HIGH, 0x47,1
  CPR7001,KLM:FEE:V13, CALIB_EVENTS_PER_STEP, 0x48,1
  CPR7002,KLM:FEE:V14, SHAPER_MASK_LOW, 0x20,1
  CPR7002,KLM:FEE:V15, SHAPER_MASK_HIGH, 0x21,1
  CPR7002,KLM:FEE:V16, TTD_TRG_RARE_FACTOR, 0x38,1
  CPR7002,KLM:FEE:V17, TTD_TRG_TYPE, 0x39,1
  CPR7002,KLM:FEE:V18, CALIB_AMPL0_LOW, 0x40,1
  CPR7002,KLM:FEE:V19, CALIB_AMPL0_HIGH, 0x41,1
  CPR7002,KLM:FEE:V20, CALIB_AMPL_STEP_HIGH, 0x42,1
  CPR7002,KLM:FEE:V21, CALIB_AMPL_STEP_HIGH, 0x43,1
  CPR7002,KLM:FEE:V22, CALIB_DELAY0_LOW, 0x44,1
  CPR7002,KLM:FEE:V23, CALIB_DELAY0_HIGH, 0x45,1
  CPR7002,KLM:FEE:V24, CALIB_DELAY_STEP_LOW, 0x46,1
  CPR7002,KLM:FEE:V25, CALIB_DELAY_STEP_HIGH, 0x47,1
  CPR7002,KLM:FEE:V26, CALIB_EVENTS_PER_STEP, 0x48,1
  CPR7003,KLM:FEE:V27, SHAPER_MASK_LOW, 0x20,1
  CPR7003,KLM:FEE:V28, SHAPER_MASK_HIGH, 0x21,1
  CPR7003,KLM:FEE:V29, TTD_TRG_RARE_FACTOR, 0x38,1
  CPR7003,KLM:FEE:V30, TTD_TRG_TYPE, 0x39,1
  CPR7003,KLM:FEE:V31, CALIB_AMPL0_LOW, 0x40,1
  CPR7003,KLM:FEE:V32, CALIB_AMPL0_HIGH, 0x41,1
  CPR7003,KLM:FEE:V33, CALIB_AMPL_STEP_HIGH, 0x42,1
  CPR7003,KLM:FEE:V34, CALIB_AMPL_STEP_HIGH, 0x43,1
  CPR7003,KLM:FEE:V35, CALIB_DELAY0_LOW, 0x44,1
  CPR7003,KLM:FEE:V36, CALIB_DELAY0_HIGH, 0x45,1
  CPR7003,KLM:FEE:V37, CALIB_DELAY_STEP_LOW, 0x46,1
  CPR7003,KLM:FEE:V38, CALIB_DELAY_STEP_HIGH, 0x47,1
  CPR7003,KLM:FEE:V39, CALIB_EVENTS_PER_STEP, 0x48,1
  CPR7004,KLM:FEE:V40, SHAPER_MASK_LOW, 0x20,1
  CPR7004,KLM:FEE:V41, SHAPER_MASK_HIGH, 0x21,1
  CPR7004,KLM:FEE:V42, TTD_TRG_RARE_FACTOR, 0x38,1
  CPR7004,KLM:FEE:V43, TTD_TRG_TYPE, 0x39,1
  CPR7004,KLM:FEE:V44, CALIB_AMPL0_LOW, 0x40,1
  CPR7004,KLM:FEE:V45, CALIB_AMPL0_HIGH, 0x41,1
  CPR7004,KLM:FEE:V46, CALIB_AMPL_STEP_HIGH, 0x42,1
  CPR7004,KLM:FEE:V47, CALIB_AMPL_STEP_HIGH, 0x43,1
  CPR7004,KLM:FEE:V48, CALIB_DELAY0_LOW, 0x44,1
  CPR7004,KLM:FEE:V49, CALIB_DELAY0_HIGH, 0x45,1
  CPR7004,KLM:FEE:V50, CALIB_DELAY_STEP_LOW, 0x46,1
  CPR7004,KLM:FEE:V51, CALIB_DELAY_STEP_HIGH, 0x47,1
  CPR7004,KLM:FEE:V52, CALIB_EVENTS_PER_STEP, 0x48,1
  CPR7005,KLM:FEE:V53, SHAPER_MASK_LOW, 0x20,1
  CPR7005,KLM:FEE:V54, SHAPER_MASK_HIGH, 0x21,1
  CPR7005,KLM:FEE:V55, TTD_TRG_RARE_FACTOR, 0x38,1
  CPR7005,KLM:FEE:V56, TTD_TRG_TYPE, 0x39,1
  CPR7005,KLM:FEE:V57, CALIB_AMPL0_LOW, 0x40,1
  CPR7005,KLM:FEE:V58, CALIB_AMPL0_HIGH, 0x41,1
  CPR7005,KLM:FEE:V59, CALIB_AMPL_STEP_HIGH, 0x42,1
  CPR7005,KLM:FEE:V60, CALIB_AMPL_STEP_HIGH, 0x43,1
  CPR7005,KLM:FEE:V61, CALIB_DELAY0_LOW, 0x44,1
  CPR7005,KLM:FEE:V62, CALIB_DELAY0_HIGH, 0x45,1
  CPR7005,KLM:FEE:V63, CALIB_DELAY_STEP_LOW, 0x46,1
  CPR7005,KLM:FEE:V64, CALIB_DELAY_STEP_HIGH, 0x47,1
  CPR7005,KLM:FEE:V65, CALIB_EVENTS_PER_STEP, 0x48,1
  CPR7006,KLM:FEE:V66, SHAPER_MASK_LOW, 0x20,1
  CPR7006,KLM:FEE:V67, SHAPER_MASK_HIGH, 0x21,1
  CPR7006,KLM:FEE:V68, TTD_TRG_RARE_FACTOR, 0x38,1
  CPR7006,KLM:FEE:V69, TTD_TRG_TYPE, 0x39,1
  CPR7006,KLM:FEE:V70, CALIB_AMPL0_LOW, 0x40,1
  CPR7006,KLM:FEE:V71, CALIB_AMPL0_HIGH, 0x41,1
  CPR7006,KLM:FEE:V72, CALIB_AMPL_STEP_HIGH, 0x42,1
  CPR7006,KLM:FEE:V73, CALIB_AMPL_STEP_HIGH, 0x43,1
  CPR7006,KLM:FEE:V74, CALIB_DELAY0_LOW, 0x44,1
  CPR7006,KLM:FEE:V75, CALIB_DELAY0_HIGH, 0x45,1
  CPR7006,KLM:FEE:V76, CALIB_DELAY_STEP_LOW, 0x46,1
  CPR7006,KLM:FEE:V77, CALIB_DELAY_STEP_HIGH, 0x47,1
  CPR7006,KLM:FEE:V78, CALIB_EVENTS_PER_STEP, 0x48,1
