   nodename,  config, used,                           runtype, type, dbmode, sequential
   KLM01, default, true,    ROPC701/ropc/1/KLM:default,0,1,       false
   KLM01, default, true,      CPR7001/copper/1/KLM:V01:rck035,0,1,      false
   KLM01, default, true,      CPR7002/copper/1/KLM:V01:rck035,0,1,      false
   KLM01, default, true,      CPR7003/copper/1/KLM:V01:rck035,0,1,      false
   KLM01, default, true,      CPR7004/copper/1/KLM:V01:rck035,0,1,      false
   KLM01, default, true,      CPR7005/copper/1/KLM:V01:rck035,0,1,      false
   KLM01, default, true,      CPR7006/copper/1/KLM:V01:rck035,0,1,      false
   KLM01, debug:dummycpu, true,    ROPC701/ropc/1/KLM:default,0,1,       false
   KLM01, debug:dummycpu, true,      CPR7001/copper/1/debug:dummycpu,0,1,      false
   KLM01, debug:dummycpu, true,      CPR7002/copper/1/debug:dummycpu,0,1,      false
   KLM01, debug:dummycpu, true,      CPR7003/copper/1/debug:dummycpu,0,1,      false
   KLM01, debug:dummycpu, true,      CPR7004/copper/1/debug:dummycpu,0,1,      false
   KLM01, debug:dummycpu, true,      CPR7005/copper/1/debug:dummycpu,0,1,      false
   KLM01, debug:dummycpu, true,      CPR7006/copper/1/debug:dummycpu,0,1,      false
   KLM01, debug:dumhslb:020:rand4k, true,    ROPC701/ropc/1/KLM:default,0,1,       false
   KLM01, debug:dumhslb:020:rand4k, true,      CPR7001/copper/1/debug:dumhslb:020:rand4k,0,1,      false
   KLM01, debug:dumhslb:020:rand4k, true,      CPR7002/copper/1/debug:dumhslb:020:rand4k,0,1,      false
   KLM01, debug:dumhslb:020:rand4k, true,      CPR7003/copper/1/debug:dumhslb:020:rand4k,0,1,      false
   KLM01, debug:dumhslb:020:rand4k, true,      CPR7004/copper/1/debug:dumhslb:020:rand4k,0,1,      false
   KLM01, debug:dumhslb:020:rand4k, true,      CPR7005/copper/1/debug:dumhslb:020:rand4k,0,1,      false
   KLM01, debug:dumhslb:020:rand4k, true,      CPR7006/copper/1/debug:dumhslb:020:rand4k,0,1,      false
   KLM01, debug:yamadahslb:10kHz, true,    ROPC701/ropc/1/KLM:default,0,1,       false
   KLM01, debug:yamadahslb:10kHz, true,      CPR7001/copper/1/debug:yamadahslb:10kHz,0,1,      false
   KLM01, debug:yamadahslb:10kHz, true,      CPR7002/copper/1/debug:yamadahslb:10kHz,0,1,      false
   KLM01, debug:yamadahslb:10kHz, true,      CPR7003/copper/1/debug:yamadahslb:10kHz,0,1,      false
   KLM01, debug:yamadahslb:10kHz, true,      CPR7004/copper/1/debug:yamadahslb:10kHz,0,1,      false
   KLM01, debug:yamadahslb:10kHz, true,      CPR7005/copper/1/debug:yamadahslb:10kHz,0,1,      false
   KLM01, debug:yamadahslb:10kHz, true,      CPR7006/copper/1/debug:yamadahslb:10kHz,0,1,      false
