 nodename,  config, node
RUNCONTROL, RC:debug:dummycpu,node:debug:dummycpu
RUNCONTROL, RC:debug:dumhslb:020:rand4k,node:debug:dumhslb:020:rand4k
RUNCONTROL, RC:debug:yamadahslb:10kHz,node:debug:yamadahslb:10kHz
RUNCONTROL, RC:test:daq:none,node:test:daq:none
RUNCONTROL, RC:test:daq:aux,node:test:daq:aux
RUNCONTROL, RC:test:daq:i,node:test:daq:i
RUNCONTROL, RC:test:daq:tlu,node:test:daq:tlu
RUNCONTROL, RC:test:daq:pulse:unlimited:1Hz,node:test:daq:pulse:unlimited:1Hz
RUNCONTROL, RC:test:daq:pulse:unlimited:10Hz,node:test:daq:pulse:unlimited:10Hz
RUNCONTROL, RC:test:daq:pulse:unlimited:100Hz,node:test:daq:pulse:unlimited:100Hz
RUNCONTROL, RC:test:daq:pulse:unlimited:1kHz,node:test:daq:pulse:unlimited:1kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:2kHz,node:test:daq:pulse:unlimited:2kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:3kHz,node:test:daq:pulse:unlimited:3kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:5kHz,node:test:daq:pulse:unlimited:5kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:10kHz,node:test:daq:pulse:unlimited:10kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:20kHz,node:test:daq:pulse:unlimited:20kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:30kHz,node:test:daq:pulse:unlimited:30kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:50kHz,node:test:daq:pulse:unlimited:50kHz
RUNCONTROL, RC:test:daq:pulse:unlimited:100kHz,node:test:daq:pulse:unlimited:100kHz
RUNCONTROL, RC:test:daq:pulse:limited:1Hz,node:test:daq:pulse:limited:1Hz
RUNCONTROL, RC:test:daq:pulse:limited:10Hz,node:test:daq:pulse:limited:10Hz
RUNCONTROL, RC:test:daq:pulse:limited:100Hz,node:test:daq:pulse:limited:100Hz
RUNCONTROL, RC:test:daq:pulse:limited:1kHz,node:test:daq:pulse:limited:1kHz
RUNCONTROL, RC:test:daq:pulse:limited:10kHz,node:test:daq:pulse:limited:10kHz
RUNCONTROL, RC:test:daq:pulse:limited:100kHz,node:test:daq:pulse:limited:100kHz
RUNCONTROL, RC:test:daq:revo:unlimited:1Hz,node:test:daq:revo:unlimited:1Hz
RUNCONTROL, RC:test:daq:revo:unlimited:10Hz,node:test:daq:revo:unlimited:10Hz
RUNCONTROL, RC:test:daq:revo:unlimited:100Hz,node:test:daq:revo:unlimited:100Hz
RUNCONTROL, RC:test:daq:revo:unlimited:1kHz,node:test:daq:revo:unlimited:1kHz
RUNCONTROL, RC:test:daq:revo:unlimited:2kHz,node:test:daq:revo:unlimited:2kHz
RUNCONTROL, RC:test:daq:revo:unlimited:3kHz,node:test:daq:revo:unlimited:3kHz
RUNCONTROL, RC:test:daq:revo:unlimited:5kHz,node:test:daq:revo:unlimited:5kHz
RUNCONTROL, RC:test:daq:revo:unlimited:10kHz,node:test:daq:revo:unlimited:10kHz
RUNCONTROL, RC:test:daq:revo:unlimited:20kHz,node:test:daq:revo:unlimited:20kHz
RUNCONTROL, RC:test:daq:revo:unlimited:30kHz,node:test:daq:revo:unlimited:30kHz
RUNCONTROL, RC:test:daq:revo:unlimited:50kHz,node:test:daq:revo:unlimited:50kHz
RUNCONTROL, RC:test:daq:revo:unlimited:100kHz,node:test:daq:revo:unlimited:100kHz
RUNCONTROL, RC:test:daq:revo:limited:1Hz,node:test:daq:revo:limited:1Hz
RUNCONTROL, RC:test:daq:revo:limited:10Hz,node:test:daq:revo:limited:10Hz
RUNCONTROL, RC:test:daq:revo:limited:100Hz,node:test:daq:revo:limited:100Hz
RUNCONTROL, RC:test:daq:revo:limited:1kHz,node:test:daq:revo:limited:1kHz
RUNCONTROL, RC:test:daq:revo:limited:10kHz,node:test:daq:revo:limited:10kHz
RUNCONTROL, RC:test:daq:revo:limited:100kHz,node:test:daq:revo:limited:100kHz
RUNCONTROL, RC:test:daq:random:unlimited:1Hz,node:test:daq:random:unlimited:1Hz
RUNCONTROL, RC:test:daq:random:unlimited:10Hz,node:test:daq:random:unlimited:10Hz
RUNCONTROL, RC:test:daq:random:unlimited:100Hz,node:test:daq:random:unlimited:100Hz
RUNCONTROL, RC:test:daq:random:unlimited:1kHz,node:test:daq:random:unlimited:1kHz
RUNCONTROL, RC:test:daq:random:unlimited:2kHz,node:test:daq:random:unlimited:2kHz
RUNCONTROL, RC:test:daq:random:unlimited:3kHz,node:test:daq:random:unlimited:3kHz
RUNCONTROL, RC:test:daq:random:unlimited:5kHz,node:test:daq:random:unlimited:5kHz
RUNCONTROL, RC:test:daq:random:unlimited:10kHz,node:test:daq:random:unlimited:10kHz
RUNCONTROL, RC:test:daq:random:unlimited:20kHz,node:test:daq:random:unlimited:20kHz
RUNCONTROL, RC:test:daq:random:unlimited:30kHz,node:test:daq:random:unlimited:30kHz
RUNCONTROL, RC:test:daq:random:unlimited:50kHz,node:test:daq:random:unlimited:50kHz
RUNCONTROL, RC:test:daq:random:unlimited:100kHz,node:test:daq:random:unlimited:100kHz
RUNCONTROL, RC:test:daq:random:limited:1Hz,node:test:daq:random:limited:1Hz
RUNCONTROL, RC:test:daq:random:limited:10Hz,node:test:daq:random:limited:10Hz
RUNCONTROL, RC:test:daq:random:limited:100Hz,node:test:daq:random:limited:100Hz
RUNCONTROL, RC:test:daq:random:limited:1kHz,node:test:daq:random:limited:1kHz
RUNCONTROL, RC:test:daq:random:limited:10kHz,node:test:daq:random:limited:10kHz
RUNCONTROL, RC:test:daq:random:limited:100kHz,node:test:daq:random:limited:100kHz
RUNCONTROL, RC:test:daq:once,node:test:daq:once
RUNCONTROL, RC:test:daq:stop,node:test:daq:stop
RUNCONTROL, RC:physics,node:physics
