   nodename,  config, used,            runtype, sequential
RUNCONTROL, RC:debug:dummycpu, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:debug:dummycpu, true, daq/HLT@RC:default, false
RUNCONTROL, RC:debug:dummycpu, true, ecl/ECL@RC:debug:dummycpu, false
RUNCONTROL, RC:debug:dummycpu, true, daq/TTD@RC:none, false
RUNCONTROL, RC:debug:dumhslb:020:rand4k, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:debug:dumhslb:020:rand4k, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:debug:dumhslb:020:rand4k, true, daq/HLT@RC:default, false
RUNCONTROL, RC:debug:dumhslb:020:rand4k, true, daq/TTD@RC:none, false
RUNCONTROL, RC:debug:yamadahslb:10kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:debug:yamadahslb:10kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:debug:yamadahslb:10kHz, true, ecl/ECL@RC:debug:yamadahslb:10kHz, false
RUNCONTROL, RC:debug:yamadahslb:10kHz, true, daq/TTD@RC:none, false
RUNCONTROL, RC:test:daq:none, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:none, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:none, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:none, true, daq/TTD@RC:none, false
RUNCONTROL, RC:test:daq:aux, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:aux, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:aux, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:aux, true, daq/TTD@RC:aux, false
RUNCONTROL, RC:test:daq:i, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:i, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:i, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:i, true, daq/TTD@RC:i, false
RUNCONTROL, RC:test:daq:tlu, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:tlu, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:tlu, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:tlu, true, daq/TTD@RC:tlu, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1Hz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1Hz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1Hz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1Hz, true, daq/TTD@RC:pulse:unlimited:1Hz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10Hz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10Hz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10Hz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10Hz, true, daq/TTD@RC:pulse:unlimited:10Hz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100Hz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100Hz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100Hz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100Hz, true, daq/TTD@RC:pulse:unlimited:100Hz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:1kHz, true, daq/TTD@RC:pulse:unlimited:1kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:2kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:2kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:2kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:2kHz, true, daq/TTD@RC:pulse:unlimited:2kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:3kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:3kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:3kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:3kHz, true, daq/TTD@RC:pulse:unlimited:3kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:5kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:5kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:5kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:5kHz, true, daq/TTD@RC:pulse:unlimited:5kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:10kHz, true, daq/TTD@RC:pulse:unlimited:10kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:20kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:20kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:20kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:20kHz, true, daq/TTD@RC:pulse:unlimited:20kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:30kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:30kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:30kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:30kHz, true, daq/TTD@RC:pulse:unlimited:30kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:50kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:50kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:50kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:50kHz, true, daq/TTD@RC:pulse:unlimited:50kHz, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:unlimited:100kHz, true, daq/TTD@RC:pulse:unlimited:100kHz, false
RUNCONTROL, RC:test:daq:pulse:limited:1Hz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:1Hz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:1Hz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:1Hz, true, daq/TTD@RC:pulse:limited:1Hz, false
RUNCONTROL, RC:test:daq:pulse:limited:10Hz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:10Hz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:10Hz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:10Hz, true, daq/TTD@RC:pulse:limited:10Hz, false
RUNCONTROL, RC:test:daq:pulse:limited:100Hz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:100Hz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:100Hz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:100Hz, true, daq/TTD@RC:pulse:limited:100Hz, false
RUNCONTROL, RC:test:daq:pulse:limited:1kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:1kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:1kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:1kHz, true, daq/TTD@RC:pulse:limited:1kHz, false
RUNCONTROL, RC:test:daq:pulse:limited:10kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:10kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:10kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:10kHz, true, daq/TTD@RC:pulse:limited:10kHz, false
RUNCONTROL, RC:test:daq:pulse:limited:100kHz, true, daq/STORAGE@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:100kHz, true, daq/HLT@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:100kHz, true, ecl/ECL@RC:default, false
RUNCONTROL, RC:test:daq:pulse:limited:100kHz, true, daq/TTD@RC:pulse:limited:100kHz, false
