 nodename,   config, trigger_type, dummy_rate, trigger_limit
      TTD,     none,0,-1,-1
      TTD,      aux,1,-1,-1
      TTD,        i,2,-1,-1
      TTD,      tlu,3,-1,-1
      TTD,     pulse:unlimited:1Hz,4,1,-1
      TTD,     pulse:unlimited:10Hz,4,10,-1
      TTD,     pulse:unlimited:100Hz,4,100,-1
      TTD,     pulse:unlimited:1kHz,4,1000,-1
      TTD,     pulse:unlimited:2kHz,4,2000,-1
      TTD,     pulse:unlimited:3kHz,4,3000,-1
      TTD,     pulse:unlimited:5kHz,4,5000,-1
      TTD,     pulse:unlimited:10kHz,4,10000,-1
      TTD,     pulse:unlimited:20kHz,4,20000,-1
      TTD,     pulse:unlimited:30kHz,4,30000,-1
      TTD,     pulse:unlimited:50kHz,4,50000,-1
      TTD,     pulse:unlimited:100kHz,4,100000,-1
      TTD,     pulse:limited:1Hz,4,1,100
      TTD,     pulse:limited:10Hz,4,10,1000
      TTD,     pulse:limited:100Hz,4,100,10000
      TTD,     pulse:limited:1kHz,4,1000,100000
      TTD,     pulse:limited:10kHz,4,10000,1000000
      TTD,     pulse:limited:100kHz,4,100000,1000000
      TTD,     revo:unlimited:1Hz,5,1,-1
      TTD,     revo:unlimited:10Hz,5,10,-1
      TTD,     revo:unlimited:100Hz,5,100,-1
      TTD,     revo:unlimited:1kHz,5,1000,-1
      TTD,     revo:unlimited:2kHz,5,2000,-1
      TTD,     revo:unlimited:3kHz,5,3000,-1
      TTD,     revo:unlimited:5kHz,5,5000,-1
      TTD,     revo:unlimited:10kHz,5,10000,-1
      TTD,     revo:unlimited:20kHz,5,20000,-1
      TTD,     revo:unlimited:30kHz,5,30000,-1
      TTD,     revo:unlimited:50kHz,5,50000,-1
      TTD,     revo:unlimited:100kHz,5,100000,-1
      TTD,     revo:limited:1Hz,5,1,100
      TTD,     revo:limited:10Hz,5,10,1000
      TTD,     revo:limited:100Hz,5,100,10000
      TTD,     revo:limited:1kHz,5,1000,100000
      TTD,     revo:limited:10kHz,5,10000,1000000
      TTD,     revo:limited:100kHz,5,100000,1000000
      TTD,     random:unlimited:1Hz,6,1,-1
      TTD,     random:unlimited:10Hz,6,10,-1
      TTD,     random:unlimited:100Hz,6,100,-1
      TTD,     random:unlimited:1kHz,6,1000,-1
      TTD,     random:unlimited:2kHz,6,2000,-1
      TTD,     random:unlimited:3kHz,6,3000,-1
      TTD,     random:unlimited:5kHz,6,5000,-1
      TTD,     random:unlimited:10kHz,6,10000,-1
      TTD,     random:unlimited:20kHz,6,20000,-1
      TTD,     random:unlimited:30kHz,6,30000,-1
      TTD,     random:unlimited:50kHz,6,50000,-1
      TTD,     random:unlimited:100kHz,6,100000,-1
      TTD,     random:limited:1Hz,6,1,100
      TTD,     random:limited:10Hz,6,10,1000
      TTD,     random:limited:100Hz,6,100,10000
      TTD,     random:limited:1kHz,6,1000,100000
      TTD,     random:limited:10kHz,6,10000,1000000
      TTD,     random:limited:100kHz,6,100000,1000000
      TTD,     once,7,-1,-1
      TTD,     stop,8,-1,-1
