crate,slot,channel,sector,cable,pin,modid,type,volt
4,0,0,1,2,14,208,hv,7000
4,0,1,1,2,15,348,hv,7000
4,0,2,1,2,16,148,hv,7000
4,0,3,1,2,17,209,hv,7000
4,0,4,1,2,11,210,hv,7000
4,0,5,1,2,12,46,hv,7000
4,0,6,1,2,13,45,hv,7000
4,0,7,1,2,8,346,hv,7000
4,0,8,1,2,9,149,hv,7000
4,0,9,1,2,10,95,hv,7000
4,0,10,1,2,4,275,hv,7000
4,0,11,1,2,5,3,hv,7000
4,0,12,1,2,6,94,hv,7000
4,0,13,1,2,2,276,hv,7000
4,0,14,1,2,3,93,hv,7000
4,0,15,-1,-1,-1,-1,none,0
4,2,0,1,1,11,91,hv,7000
4,2,1,1,1,12,206,hv,7000
4,2,2,1,1,13,272,hv,7000
4,2,3,1,1,14,43,hv,7000
4,2,4,1,1,8,273,hv,7000
4,2,5,1,1,9,345,hv,7000
4,2,6,1,1,10,145,hv,7000
4,2,7,1,1,4,1,hv,7000
4,2,8,1,1,5,344,hv,7000
4,2,9,1,1,6,271,hv,7000
4,2,10,1,2,20,147,hv,7000
4,2,11,1,1,2,44,hv,7000
4,2,12,1,1,3,146,hv,7000
4,2,13,1,2,18,274,hv,7000
4,2,14,-1,-1,-1,-1,none,0
4,2,15,1,2,19,347,hv,7000
4,4,0,1,3,9,151,hv,7000
4,4,1,1,3,10,349,hv,7000
4,4,2,1,3,11,352,hv,7000
4,4,3,1,3,12,97,hv,7000
4,4,4,1,3,5,278,hv,7000
4,4,5,1,3,6,277,hv,7000
4,4,6,1,3,8,96,hv,7000
4,4,7,1,3,2,150,hv,7000
4,4,8,1,3,3,350,hv,7000
4,4,9,1,3,4,48,hv,7000
4,4,10,1,1,17,205,hv,7000
4,4,11,1,1,18,343,hv,7000
4,4,12,1,1,19,92,hv,7000
4,4,13,-1,-1,-1,-1,none,0
4,4,14,1,1,15,207,hv,7000
4,4,15,1,1,16,2,hv,7000
4,6,0,1,4,5,281,hv,7000
4,6,1,1,4,6,153,hv,7000
4,6,2,1,4,8,154,hv,7000
4,6,3,1,4,9,354,hv,7000
4,6,4,1,4,2,213,hv,7000
4,6,5,1,4,3,214,hv,7000
4,6,6,1,4,4,215,hv,7000
4,6,7,1,3,18,279,hv,7000
4,6,8,1,3,19,351,hv,7000
4,6,9,1,3,20,211,hv,7000
4,6,10,1,3,16,152,hv,7000
4,6,11,1,3,17,5,hv,7000
4,6,12,-1,-1,-1,-1,none,0
4,6,13,1,3,13,4,hv,7000
4,6,14,1,3,14,47,hv,7000
4,6,15,1,3,15,212,hv,7000
4,8,0,2,2,3,102,hv,7000
4,8,1,2,2,4,287,hv,7000
4,8,2,2,2,5,10,hv,7000
4,8,3,2,2,6,103,hv,7000
4,8,4,1,4,18,99,hv,7000
4,8,5,1,4,19,6,hv,7000
4,8,6,2,2,2,288,hv,7000
4,8,7,1,4,15,355,hv,7000
4,8,8,1,4,16,282,hv,7000
4,8,9,1,4,17,280,hv,7000
4,8,10,1,4,13,353,hv,7000
4,8,11,-1,-1,-1,-1,none,0
4,8,12,1,4,14,7,hv,7000
4,8,13,1,4,10,50,hv,7000
4,8,14,1,4,11,49,hv,7000
4,8,15,1,4,12,98,hv,7000
4,10,0,2,2,19,360,hv,7000
4,10,1,2,2,20,157,hv,7000
4,10,2,2,1,2,52,hv,7000
4,10,3,2,1,3,156,hv,7000
4,10,4,2,2,16,158,hv,7000
4,10,5,2,2,17,220,hv,7000
4,10,6,2,2,18,286,hv,7000
4,10,7,2,2,13,53,hv,7000
4,10,8,2,2,14,219,hv,7000
4,10,9,2,2,15,361,hv,7000
4,10,10,-1,-1,-1,-1,none,0
4,10,11,2,2,11,221,hv,7000
4,10,12,2,2,12,54,hv,7000
4,10,13,2,2,8,359,hv,7000
4,10,14,2,2,9,159,hv,7000
4,10,15,2,2,10,104,hv,7000
4,12,0,2,1,16,9,hv,7000
4,12,1,2,1,17,216,hv,7000
4,12,2,2,1,18,356,hv,7000
4,12,3,2,1,19,101,hv,7000
4,12,4,2,1,13,284,hv,7000
4,12,5,2,1,14,51,hv,7000
4,12,6,2,1,15,218,hv,7000
4,12,7,2,1,11,100,hv,7000
4,12,8,2,1,12,217,hv,7000
4,12,9,-1,-1,-1,-1,none,0
4,12,10,2,1,8,285,hv,7000
4,12,11,2,1,9,358,hv,7000
4,12,12,2,1,10,155,hv,7000
4,12,13,2,1,4,8,hv,7000
4,12,14,2,1,5,357,hv,7000
4,12,15,2,1,6,283,hv,7000
5,0,0,2,3,14,55,hv,7000
5,0,1,2,3,15,223,hv,7000
5,0,2,2,3,16,162,hv,7000
5,0,3,2,3,17,12,hv,7000
5,0,4,2,3,11,365,hv,7000
5,0,5,2,3,12,106,hv,7000
