pdg: 13 	momentum range: 500-750 MeV/c	theta range: 44-117 deg	chi2/ndf: 26.310079
pdg: 13 	momentum range: 1000-1500 MeV/c	theta range: 17-31 deg	chi2/ndf: 171.788052
pdg: 13 	momentum range: 1000-1500 MeV/c	theta range: 32-44 deg	chi2/ndf: 69.088547
pdg: 13 	momentum range: 1500-2000 MeV/c	theta range: 44-117 deg	chi2/ndf: 29.909571
pdg: -13	momentum range: 1500-2000 MeV/c	theta range: 44-117 deg	chi2/ndf: 48.796324
pdg: 13 	momentum range: 2000-3000 MeV/c	theta range: 0-17 deg	chi2/ndf: 113.062168
pdg: 13 	momentum range: 2000-3000 MeV/c	theta range: 44-117 deg	chi2/ndf: 68.159471
pdg: -13	momentum range: 2000-3000 MeV/c	theta range: 44-117 deg	chi2/ndf: 64.426390
pdg: -13	momentum range: 2000-3000 MeV/c	theta range: 150-180 deg	chi2/ndf: 56.262040
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 17-31 deg	chi2/ndf: 90.990164
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 17-31 deg	chi2/ndf: 77.332348
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 32-44 deg	chi2/ndf: 38.879575
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 32-44 deg	chi2/ndf: 48.561554
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 44-117 deg	chi2/ndf: 540.709023
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 44-117 deg	chi2/ndf: 530.205891
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 117-128 deg	chi2/ndf: 45.038981
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 117-128 deg	chi2/ndf: 39.421861
pdg: 13 	momentum range: 3000-4000 MeV/c	theta range: 130-150 deg	chi2/ndf: 24.781477
pdg: -13	momentum range: 3000-4000 MeV/c	theta range: 130-150 deg	chi2/ndf: 29.126914
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 0-17 deg	chi2/ndf: 21.647147
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 0-17 deg	chi2/ndf: 37.815543
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 17-31 deg	chi2/ndf: 851.385017
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 17-31 deg	chi2/ndf: 164.889600
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 32-44 deg	chi2/ndf: 378.285790
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 32-44 deg	chi2/ndf: 243.307469
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 44-117 deg	chi2/ndf: 2526.437294
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 44-117 deg	chi2/ndf: 1745.404362
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 117-128 deg	chi2/ndf: 273.576404
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 117-128 deg	chi2/ndf: 193.818387
pdg: 13 	momentum range: 4000-4500 MeV/c	theta range: 130-150 deg	chi2/ndf: 96.178381
pdg: -13	momentum range: 4000-4500 MeV/c	theta range: 130-150 deg	chi2/ndf: 71.313696
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 0-17 deg	chi2/ndf: 60.779492
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 17-31 deg	chi2/ndf: 822.761062
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 17-31 deg	chi2/ndf: 217.868488
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 32-44 deg	chi2/ndf: 333.854964
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 32-44 deg	chi2/ndf: 213.142424
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 44-117 deg	chi2/ndf: 4474.454371
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 44-117 deg	chi2/ndf: 3783.141609
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 117-128 deg	chi2/ndf: 313.100616
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 117-128 deg	chi2/ndf: 146.407579
pdg: 13 	momentum range: 4500-5000 MeV/c	theta range: 130-150 deg	chi2/ndf: 102.517795
pdg: -13	momentum range: 4500-5000 MeV/c	theta range: 130-150 deg	chi2/ndf: 152.721480
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 17-31 deg	chi2/ndf: 887.610821
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 17-31 deg	chi2/ndf: 432.535390
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 32-44 deg	chi2/ndf: 285.741872
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 32-44 deg	chi2/ndf: 195.649790
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 44-117 deg	chi2/ndf: 5446.563189
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 44-117 deg	chi2/ndf: 4222.529911
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 117-128 deg	chi2/ndf: 328.971694
pdg: -13	momentum range: 5000-5500 MeV/c	theta range: 117-128 deg	chi2/ndf: 158.525271
pdg: 13 	momentum range: 5000-5500 MeV/c	theta range: 130-150 deg	chi2/ndf: 324.905279
