FWD	0.3		0.1
FWD	0.55	1e-7
FWD	0.6		1e-9
FWD	0.8		1e-12
FWD	1e6		1e-21
BWD	0.4		1e-3
BWD	0.7		1e-4
BWD	1e6		1e-5
BRL	1	0.55	1e-3
BRL	1	0.65	1e-4
BRL	1	0.8		1e-5
BRL	1	0.95	1e-6
BRL	1	1.1		1e-7
BRL	1	1.2		1e-8
BRL	1	1.3		1e-9
BRL	1	1.6		1e-12
BRL	1	1e6		1e-15
BRL	1.8	0.4		1e-3
BRL	1.8 0.5		1e-4
BRL	1.8 0.6		1e-5
BRL	1.8 0.65	1e-6
BRL	1.8 0.8		1e-7
BRL	1.8 0.9		1e-8
BRL	1.8 1		1e-9
BRL	1.8 1.1		1e-10
BRL	1.8 1.3		1e-12
BRL	1.8 1.5		1e-15
BRL	1.8	1e6		1e-18
BRL	2.5	0.4		1e-3
BRL	2.5	0.5		1e-4
BRL	2.5	0.55	1e-5
BRL	2.5	0.7		1e-6
BRL	2.5	0.95	1e-8
BRL	2.5	1.1		1e-9
BRL	2.5	1.25	1e-12
BRL	2.5	1.5		1e-15
BRL	2.5	1e6		1e-18
