#backward calorimeter crystal shape descriptions pp 161-164, Tables B.10,11,12,13 from Hitomi Ikeda's dissertation NWU-HEP 99-01 http://hdl.handle.net/10935/3885
#N A(mm) B(mm) C(mm) D(mm) a(mm) b(mm) c(mm) d(mm) HaA(mm) HdD(mm) dg13(mm) dg24(mm) dg57(mm) dg68(mm) a1(deg) a2(deg) a3(deg) a4(deg) Volume(cc) Weight(kg)
 1 59.870 61.610 64.566 64.566 49.722 51.170 53.673 53.673 5.515 5.148 73.655 73.655  88.642  88.642 90.773 89.227 89.227 90.773  990 4.47
 2 60.120 61.860 64.566 64.566 49.972 51.420 53.673 53.673 5.515 5.148 73.826 73.826  88.813  88.813 90.773 89.227 89.227 90.773  995 4.49
 3 55.740 57.576 66.702 65.092 45.915 47.428 55.010 53.684 5.913 4.994 71.131 72.125  86.292  87.497 92.463 89.192 89.193 89.152  945 4.26
 4 55.944 57.826 66.709 66.709 46.126 47.678 55.017 55.017 6.057 4.994 72.292 72.292  87.664  87.664 90.808 89.192 89.192 90.808  962 4.34
 5 55.990 57.826 65.085 66.702 46.165 47.678 53.677 55.010 5.913 4.993 72.287 71.290  87.659  86.451 89.153 89.193 89.192 92.463  949 4.28
 6 55.990 57.826 66.702 65.085 46.165 47.678 55.010 53.677 5.913 4.994 71.290 72.287  86.451  87.659 92.463 89.192 89.193 89.153  949 4.28
 7 55.740 57.576 65.092 66.702 45.915 47.428 53.684 55.010 5.913 4.993 72.125 71.131  87.497  86.292 89.152 89.193 89.192 92.463  945 4.26
 8 77.984 80.864 63.837 65.588 63.774 66.130 52.225 53.657 6.124 7.239 83.317 84.247 101.866 103.002 91.267 87.493 89.975 91.266 1305 5.88
 9 78.234 81.114 65.593 63.837 64.024 66.380 53.662 52.225 6.124 7.239 84.443 83.512 103.198 102.061 91.266 89.974 87.493 91.266 1309 5.91
10 78.234 81.114 63.837 65.593 64.024 66.380 52.225 53.662 6.124 7.239 83.512 84.443 102.061 103.198 91.266 87.493 89.974 91.266 1310 5.91
11 77.984 80.864 65.588 63.837 63.774 66.130 53.657 52.225 6.124 7.239 84.247 83.317 103.002 101.866 91.266 89.975 87.493 91.267 1304 5.88
12 72.170 75.221 66.125 66.125 58.535 61.010 53.664 53.664 6.389 6.964 80.318 80.319  99.001  99.000 91.322 88.678 88.679 91.321 1210 5.46
13 72.420 75.472 66.125 66.125 58.786 61.260 53.664 53.664 6.389 6.962 80.505 80.505  99.187  99.187 91.321 88.679 88.679 91.321 1215 5.48
14 66.518 69.722 66.653 66.653 53.506 56.086 53.662 53.662 6.654 6.664 76.684 76.684  95.291  95.291 91.377 88.623 88.623 91.377 1113 5.02
15 66.768 69.972 66.653 66.653 53.756 56.336 53.662 53.662 6.654 6.664 76.863 76.863  95.470  95.470 91.377 88.623 88.623 91.377 1118 5.04
16 61.008 64.366 67.180 67.180 48.672 51.354 53.658 53.658 6.917 6.339 73.339 73.339  91.869  91.869 91.432 88.568 88.568 91.432 1027 4.63
17 61.258 64.616 67.180 67.180 48.922 51.604 53.658 53.658 6.917 6.339 73.510 73.510  92.040  92.040 91.432 88.568 88.568 91.432 1032 4.65
18 55.625 59.136 70.668 67.727 44.018 46.800 56.009 53.681 7.473 5.988 70.297 72.051  88.748  90.963 94.516 88.514 88.514 88.455  975 4.40
19 55.720 59.386 70.681 70.681 44.144 47.050 56.022 56.022 7.789 5.987 72.218 72.218  91.130  91.130 91.486 88.514 88.514 91.486 1005 4.53
20 55.875 59.386 67.714 70.668 44.268 47.050 53.668 56.009 7.472 5.988 72.208 70.448  91.120  88.900 88.455 88.514 88.514 94.516  980 4.42
21 55.875 59.386 70.668 67.714 44.268 47.050 56.009 53.668 7.473 5.988 70.448 72.208  88.900  91.120 94.516 88.514 88.514 88.455  979 4.42
22 55.625 59.136 67.727 70.668 44.018 46.800 53.681 56.009 7.472 5.987 72.051 70.297  90.963  88.748 88.455 88.514 88.514 94.516  977 4.40
23 75.884 81.310 64.965 68.191 59.650 63.916 51.094 53.631 7.613 8.417 80.088 81.805 101.862 104.044 92.307 85.420 89.966 92.307 1274 5.74
24 76.134 81.561 68.201 64.965 59.900 64.167 53.642 51.094 7.613 8.417 82.001 80.281 104.241 102.055 92.307 89.966 85.419 92.308 1277 5.76
25 76.134 81.561 64.965 68.201 59.900 64.167 51.094 53.642 7.613 8.417 80.281 82.001 102.055 104.241 92.308 85.419 89.966 92.307 1279 5.77
26 75.884 81.310 68.191 64.965 59.650 63.916 53.631 51.094 7.613 8.417 81.805 80.088 104.044 101.862 92.307 89.966 85.420 92.307 1272 5.74
27 68.318 73.837 66.362 66.362 53.293 57.602 51.814 51.814 7.593 7.822 75.858 75.858  97.203  97.202 92.384 87.616 87.617 92.383 1128 5.09
28 68.568 74.088 66.362 66.362 53.544 57.852 51.814 51.814 7.593 7.821 76.041 76.041  97.386  97.386 92.383 87.617 87.617 92.383 1133 5.11
29 60.939 66.660 66.808 66.808 47.198 51.634 51.810 51.810 7.801 7.198 71.564 71.564  92.333  92.334 92.454 87.546 87.546 92.454 1012 4.56
30 61.190 66.910 66.808 66.808 47.448 51.884 51.810 51.810 7.801 7.199 71.736 71.736  92.507  92.507 92.454 87.546 87.546 92.454 1016 4.58
