Date,Shifter,ExpType,RunNo,ConsecRuns,TelNo,ConsecTels,StartTime,EndTime,Beam,Energy,Magnet,MagnetCur,MagnetField,Cooling,CO2Temp,PXDData,SVDData,EudetData,EudetThr,Correlations,SVDSetup,ROIScript
2016-04-18 11:32:06,Mikihiko Nakao,DAQ,56.0,1,,0,2016-04-15 18:00:00,2016-04-17 18:50:47,ON,5.0,OFF,0.0,0.0,OFF,20,,Good,Unknown,,,Global_Hardware_00000057.xml,
2016-04-19 11:39:39,Run Control,RUN,61.0,1,359.0,1,2016-04-19 11:14:09,2016-04-19 11:39:03,ON,3.0,OFF,0.0,0.0,ON,-27,Unknown,Unknown,Unknown,,,Global_Hardware_00000061.xml,
2016-04-19 11:48:38,Run Control,RUN,62.0,1,360.0,1,2016-04-19 11:48:38,2016-04-19 13:37:20,ON,3.0,OFF,0.0,0.0,ON,-27,Unknown,Unknown,Unknown,,,Global_Hardware_00000063.xml,
2016-04-19 22:22:48,Run Control,RUN,77.0,1,437.0,1,2016-04-19 22:19:03,,ON,3.0,OFF,0.0,0.0,ON,-27,Good,Unknown,Unknown,7,,Global_Hardware_00000076.xml,
2016-04-20 00:50:44,Run Control,RUN,79.0,1,461.0,1,2016-04-20 00:47:00,,ON,5.0,OFF,0.0,0.0,ON,-27,Unknown,Unknown,Unknown,,,Global_Hardware_00000078.xml,
2016-04-20 17:31:43,Run Control,RUN,85.0,1,475.0,2,2016-04-20 17:29:23,,ON,4.0,OFF,0.0,0.0,ON,-27,Good,Good,Good,7,,Global_Hardware_00000084.xml,
2016-04-20 23:46:23,Carlos Marinas,RUN,88.0,1,479.0,1,2016-04-20 23:59:46,,ON,3.0,OFF,0.0,0.0,ON,-27,Good,Good,Good,7,,Global_Hardware_00000087.xml,
2016-04-21 00:21:41,Carlos Marinas,RUN,89.0,1,480.0,1,2016-04-21 00:21:29,,ON,3.0,OFF,0.0,0.0,ON,-27,Good,Good,Unknown,7,,Global_Hardware_00000088.xml,
2016-04-21 12:57:50,Ulf Stolzenberg,RUN,90.0,6,481.0,5,2016-04-21 10:00:04,2016-04-21 12:00:05,ON,4.0,OFF,0.0,0.0,ON,-27,Unknown,Unknown,Unknown,7,,Global_Hardware_00000089.xml,
2016-04-21 12:32:54,Carlos Marinas,RUN,96.0,1,486.0,1,2016-04-21 12:31:21,,ON,5.0,OFF,0.0,0.0,ON,-27,Good,Good,Good,7,AllCorr,Global_Hardware_00000095.xml,
