bin thresholdNetOutput clusterRescue backgroundReduction
1 -0.980392 0.999971 0.00394991
2 -0.960784 0.999418 0.0424843
3 -0.941176 0.997346 0.120912
4 -0.921569 0.995017 0.188717
5 -0.901961 0.99234 0.244826
6 -0.882353 0.991723 0.256088
7 -0.862745 0.989771 0.282361
8 -0.843137 0.988618 0.297727
9 -0.823529 0.987054 0.314
10 -0.803922 0.984509 0.338391
11 -0.784314 0.980353 0.375019
12 -0.764706 0.979411 0.381965
13 -0.745098 0.978589 0.387822
14 -0.72549 0.976078 0.403667
15 -0.705882 0.971694 0.429952
16 -0.686275 0.969679 0.441619
17 -0.666667 0.966175 0.458789
18 -0.647059 0.964068 0.468669
19 -0.627451 0.962133 0.477454
20 -0.607843 0.96009 0.485719
21 -0.588235 0.957647 0.495354
22 -0.568627 0.95461 0.506119
23 -0.54902 0.95195 0.515337
24 -0.529412 0.946305 0.534082
25 -0.509804 0.942995 0.543557
26 -0.490196 0.939359 0.554009
27 -0.470588 0.934815 0.567554
28 -0.45098 0.933634 0.570231
29 -0.431373 0.932412 0.573404
30 -0.411765 0.931196 0.576464
31 -0.392157 0.929849 0.579478
32 -0.372549 0.917246 0.606231
33 -0.352941 0.913462 0.614507
34 -0.333333 0.909826 0.621716
35 -0.313726 0.90752 0.62626
36 -0.294118 0.905065 0.630775
37 -0.27451 0.902965 0.634457
38 -0.254902 0.901583 0.636957
39 -0.235294 0.900156 0.639223
40 -0.215686 0.898667 0.6415
41 -0.196078 0.897143 0.643504
42 -0.176471 0.894408 0.647254
43 -0.156863 0.882656 0.662922
44 -0.137255 0.877524 0.67012
45 -0.117647 0.874282 0.673893
46 -0.0980392 0.871029 0.677398
47 -0.0784314 0.852324 0.6983
48 -0.0588235 0.845149 0.70705
49 -0.0392157 0.83899 0.713792
50 -0.0196078 0.831912 0.720887
51 0 0.823698 0.728729
52 0.0196078 0.815604 0.736247
53 0.0392157 0.80529 0.745728
54 0.0588235 0.784719 0.763502
55 0.0784314 0.767732 0.777881
56 0.0980392 0.763411 0.781288
57 0.117647 0.759204 0.784382
58 0.137255 0.752571 0.789759
59 0.156863 0.740596 0.797984
60 0.176471 0.728016 0.806552
61 0.196078 0.717222 0.813721
62 0.215686 0.703786 0.822089
63 0.235294 0.678905 0.836535
64 0.254902 0.657648 0.849013
65 0.27451 0.654292 0.850925
66 0.294118 0.650878 0.852906
67 0.313726 0.647208 0.854624
68 0.333333 0.641403 0.857518
69 0.352941 0.634394 0.860686
70 0.372549 0.600169 0.875624
71 0.392157 0.586139 0.881651
72 0.411765 0.576447 0.885533
73 0.431373 0.564591 0.890099
74 0.45098 0.515988 0.907451
75 0.470588 0.501467 0.912257
76 0.490196 0.497175 0.913833
77 0.509804 0.492174 0.915288
78 0.529412 0.48738 0.916721
79 0.54902 0.48065 0.91865
80 0.568627 0.473036 0.920345
81 0.588235 0.38136 0.942116
82 0.607843 0.325239 0.955455
83 0.627451 0.307328 0.959114
84 0.647059 0.298321 0.960946
85 0.666667 0.274507 0.96517
86 0.686275 0.258576 0.967927
87 0.705882 0.187615 0.978681
88 0.72549 0.161587 0.982562
89 0.745098 0.13783 0.985593
90 0.764706 0.11255 0.988556
91 0.784314 0.0601847 0.994024
92 0.803922 0 1
93 0.823529 0 1
94 0.843137 0 1
95 0.862745 0 1
96 0.882353 0 1
97 0.901961 0 1
98 0.921569 0 1
99 0.941176 0 1
100 0.960784 0 1
