# Generated by Y.Iwasaki
# Wed Nov 09 2010
#
CDC Wire Config Version 0
#
#           id type sId #wires lId asId assId
#
            0 A 0 160 0 0 0
            1 A 0 160 1 1 0
            2 A 0 160 2 2 0
            3 A 0 160 3 3 0
            4 A 0 160 4 4 0
            5 A 0 160 5 5 0
            6 A 0 160 6 6 0
            7 A 0 160 7 7 0
            8 U 1 160 0 0 0
            9 U 1 160 1 1 0
            10 U 1 160 2 2 0
            11 U 1 160 3 3 0
            12 U 1 160 4 4 0
            13 U 1 160 5 5 0
            14 A 2 192 0 8 1
            15 A 2 192 1 9 1
            16 A 2 192 2 10 1
            17 A 2 192 3 11 1
            18 A 2 192 4 12 1
            19 A 2 192 5 13 1
            20 V 3 224 0 6 1
            21 V 3 224 1 7 1
            22 V 3 224 2 8 1
            23 V 3 224 3 9 1
            24 V 3 224 4 10 1
            25 V 3 224 5 11 1
            26 A 4 256 0 14 2
            27 A 4 256 1 15 2
            28 A 4 256 2 16 2
            29 A 4 256 3 17 2
            30 A 4 256 4 18 2
            31 A 4 256 5 19 2
            32 U 5 288 0 12 2
            33 U 5 288 1 13 2
            34 U 5 288 2 14 2
            35 U 5 288 3 15 2
            36 U 5 288 4 16 2
            37 U 5 288 5 17 2
            38 A 6 320 0 20 3
            39 A 6 320 1 21 3
            40 A 6 320 2 22 3
            41 A 6 320 3 23 3
            42 A 6 320 4 24 3
            43 A 6 320 5 25 3
            44 V 7 352 0 18 3
            45 V 7 352 1 19 3
            46 V 7 352 2 20 3
            47 V 7 352 3 21 3
            48 V 7 352 4 22 3
            49 V 7 352 5 23 3
            50 A 8 384 0 26 4
            51 A 8 384 1 27 4
            52 A 8 384 2 28 4
            53 A 8 384 3 29 4
            54 A 8 384 4 30 4
            55 A 8 384 5 31 4
